Code;Channel Quality;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
Reed Solomon;GOOD;0,0003;2817408;863;1392;0,6199712643678161
Reed Solomon;GOOD;0,0003;2817408;824;1392;0,5919540229885057
Reed Solomon;GOOD;0,0003;2817408;846;1392;0,6077586206896551
Reed Solomon;GOOD;0,0003;2817408;808;1392;0,5804597701149425
Reed Solomon;GOOD;0,0003;2817408;810;1392;0,5818965517241379
Reed Solomon;GOOD;0,0003;2817408;833;1392;0,5984195402298851
Reed Solomon;GOOD;0,0003;2817408;840;1392;0,603448275862069
Reed Solomon;GOOD;0,0003;2817408;816;1392;0,5862068965517241
Reed Solomon;GOOD;0,0003;2817408;832;1392;0,5977011494252874
Reed Solomon;GOOD;0,0003;2817408;782;1392;0,5617816091954023
Reed Solomon;GOOD;0,0003;2817408;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;2817408;833;1392;0,5984195402298851
