Code;Channel Quality;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
Reed Solomon;MEDIUM;0,002;2817408;5706;1392;4,099137931034483
Reed Solomon;MEDIUM;0,002;2817408;5582;1392;4,010057471264368
Reed Solomon;MEDIUM;0,002;2817408;5540;1392;3,9798850574712645
Reed Solomon;MEDIUM;0,002;2817408;5621;1392;4,038074712643678
Reed Solomon;MEDIUM;0,002;2817408;5615;1392;4,033764367816092
Reed Solomon;MEDIUM;0,002;2817408;5601;1392;4,023706896551724
Reed Solomon;MEDIUM;0,002;2817408;5571;1392;4,002155172413793
Reed Solomon;MEDIUM;0,002;2817408;5670;1392;4,073275862068965
Reed Solomon;MEDIUM;0,002;2817408;5529;1392;3,9719827586206895
Reed Solomon;MEDIUM;0,002;2817408;5571;1392;4,002155172413793
Reed Solomon;MEDIUM;0,002;2817408;5642;1392;4,05316091954023
Reed Solomon;MEDIUM;0,002;2817408;5544;1392;3,9827586206896552
Reed Solomon;MEDIUM;0,002;2817408;5671;1392;4,073994252873563
Reed Solomon;MEDIUM;0,002;2817408;5585;1392;4,012212643678161
Reed Solomon;MEDIUM;0,002;2817408;5634;1392;4,047413793103448
Reed Solomon;MEDIUM;0,002;2817408;5647;1392;4,056752873563219
