Code;Channel Quality;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
Reed Solomon;GOOD;0,0001;2884560;290;1414;0,2050919377652051
Reed Solomon;GOOD;0,0001;2884560;278;1414;0,1966053748231966
Reed Solomon;GOOD;0,0001;2884560;283;1414;0,20014144271570014
Reed Solomon;GOOD;0,0001;2884560;272;1414;0,19236209335219237
Reed Solomon;GOOD;0,0001;2884560;316;1414;0,22347949080622348
Reed Solomon;GOOD;0,0001;2884560;313;1414;0,22135785007072137
Reed Solomon;GOOD;0,0001;2884560;312;1414;0,22065063649222066
Reed Solomon;GOOD;0,0001;2884560;299;1414;0,21145685997171146
Reed Solomon;GOOD;0,0001;2884560;285;1414;0,20155586987270155
Reed Solomon;GOOD;0,0001;2884560;256;1414;0,18104667609618105
Reed Solomon;GOOD;0,0001;2884560;291;1414;0,2057991513437058
Reed Solomon;GOOD;0,0001;2884560;269;1414;0,19024045261669023
Reed Solomon;GOOD;0,0001;2884560;290;1414;0,2050919377652051
Reed Solomon;GOOD;0,0003;2884560;888;1414;0,628005657708628
Reed Solomon;GOOD;0,0003;2884560;846;1414;0,5983026874115983
Reed Solomon;GOOD;0,0003;2884560;811;1414;0,5735502121640735
Reed Solomon;GOOD;0,0003;2884560;874;1414;0,6181046676096181
Reed Solomon;GOOD;0,0003;2884560;846;1414;0,5983026874115983
Reed Solomon;GOOD;0,0003;2884560;889;1414;0,6287128712871287
Reed Solomon;GOOD;0,0003;2884560;862;1414;0,6096181046676096
Reed Solomon;GOOD;0,0003;2884560;820;1414;0,57991513437058
Reed Solomon;GOOD;0,0003;2884560;850;1414;0,6011315417256011
Reed Solomon;GOOD;0,0003;2884560;919;1414;0,6499292786421499
Reed Solomon;GOOD;0,0003;2884560;876;1414;0,6195190947666195
Reed Solomon;GOOD;0,0003;2884560;858;1414;0,6067892503536068
Reed Solomon;GOOD;0,0003;2884560;835;1414;0,5905233380480905
Reed Solomon;GOOD;0,0003;2884560;880;1414;0,6223479490806223
Reed Solomon;GOOD;0,0003;2884560;819;1414;0,5792079207920792
Reed Solomon;GOOD;0,0003;2884560;875;1414;0,6188118811881188
Reed Solomon;GOOD;0,0003;2884560;866;1414;0,6124469589816125
Reed Solomon;GOOD;0,0003;2884560;879;1414;0,6216407355021216
Reed Solomon;GOOD;0,0003;2884560;858;1414;0,6067892503536068
Reed Solomon;GOOD;0,0003;2884560;859;1414;0,6074964639321075
Reed Solomon;GOOD;0,0003;2884560;894;1414;0,6322489391796322
Reed Solomon;GOOD;0,0003;2884560;861;1414;0,6089108910891089
Reed Solomon;GOOD;0,0003;2884560;898;1414;0,635077793493635
Reed Solomon;GOOD;0,0003;2884560;832;1414;0,5884016973125884
Reed Solomon;GOOD;0,0003;2884560;789;1414;0,557991513437058
Reed Solomon;GOOD;0,0003;2884560;925;1414;0,6541725601131542
Reed Solomon;GOOD;0,0003;2884560;829;1414;0,5862800565770863
Reed Solomon;GOOD;0,0003;2884560;857;1414;0,6060820367751061
Reed Solomon;GOOD;0,0003;2884560;867;1414;0,6131541725601132
Reed Solomon;GOOD;0,0003;2884560;836;1414;0,5912305516265912
Reed Solomon;GOOD;0,0003;2884560;868;1414;0,6138613861386139
Reed Solomon;GOOD;0,0003;2884560;897;1414;0,6343705799151343
Reed Solomon;GOOD;0,0003;2884560;851;1414;0,6018387553041018
Reed Solomon;GOOD;0,0003;2884560;886;1414;0,6265912305516266
Reed Solomon;GOOD;0,0003;2884560;842;1414;0,5954738330975955
Reed Solomon;GOOD;0,0003;2884560;893;1414;0,6315417256011315
Reed Solomon;GOOD;0,0003;2884560;847;1414;0,599009900990099
Reed Solomon;GOOD;0,0003;2884560;871;1414;0,615983026874116
Reed Solomon;GOOD;0,0003;2884560;855;1414;0,6046676096181046
Reed Solomon;GOOD;0,0003;2884560;842;1414;0,5954738330975955
Reed Solomon;GOOD;0,0003;2884560;897;1414;0,6343705799151343
Reed Solomon;GOOD;0,0003;2884560;878;1414;0,620933521923621
